4d
5c's
6c's
a bit the
a jay
black dog egg
black face
black spider
blame oneself
blanco
blanjah
blank face
blank file
blanket party
blarder
blindly copy
block catching
blood go up
blue black
blue tick
blur blur
blur blur katak
blur cam sotong
blur cock
blur king
blur macam sotong
blur queen
blur sotong
blur toad
bmw
bo bah ti
bo beh zao
bo bian
bo bin
bo chap
bo chee
bo cheng hu
bo chiak png
bo eng
bo gao koon
bo her hae mah ho
bo hew
bo hood
bo hua
bo huat tor
bo idea
bo jio
bo kah si
bo lan hood
bo lang ai
bo lang zai
bo lat
bo leong sim
bo liao
bo lin chu
bo lor yong
bo lui
bo lui lang
bo lum pa
bo min
bo nang ai
bo pakai
bo pan huat
bo peng yau si
bo pi
bo say
bo sim
bo song
bo sui
bo ta bo lan pa
bo tai bo ji
bo tai jee
bo tak chek
bo tau bo beh
bo tua bo suay
bo yau kin
bo yong
bo zheng hu
bo zor kang
bobo
bobo king
bobo shooter
bodek
bodek membodek
bodoh
bodoh like biscuit
bodoh macam biskut
bogay
bogoshipda
boh
boh tseng hu
boh wei gong
bohong sunat
bok gwai
boleh
boleh belah
boleh berambus
boleh tahan
bombz
bomoh
boncet
bongkak
bongok
booby prize
boombastic
boomz
boon lang sai
borak
born cheap act class
borong
borrow
boss
botak
botak head
botch up
boy girl relationship
braised dish
brengsek
bs
bth
btss
bu guan
bu hui zuo ren
buah
buah cheri
buah duku
buah kana
buah susu
bual slang
buang
buang buang duit
buang saliva
buang tebiat
buang time
buat bodoh
buat cerita dongeng
buat dek
buat malu
buay
buay swee
buay gum
buay hiao
buay hiao bai
buay hiao cho lang
buay hoo
buay kan
buay kantang
buay kia nang
buay kum guan
buay pai
buay paiseh
buay sai
buay si
buay song
buay steady
buay tahan
buay tank
buay tong
buay tze tong
buay yau kin
buay zai
buaya
buayalogy
budak baru nak up
budak kental
budak payung
buddhist festival
budget hotel
buffed body
bujang terlajak
bukit timah
bulat
bully king
bully queen
bun knife
bung kah tio lum pa
bunk mate
buntu
bunuh
burn hand
buruk
buruk siku
bus mrt walk
busuk
buta
buta hati
buta huruf
butoh
butt itchy
butter cookie
butter filling
butter sugar bun
butter topping
butterface
butterfly biscuit
buwee
cab
cabul
cabul maruah
cabut
cacat
cacat akal
cacat otak
cai niao
cair hati
cakap besar
cakap slang
cake lapis
cake lapis modern
calefare
call backup
call girl
camel toe
campur tangan
can
can or not
can die
can is can
can say again
cannon fairy
cannot be bothered
cannot keep secret
cannot make it
cannot stand it
cannot take it
cannot wait
cantik
cap merah
cari hal
cari makan
cari pasal
cari point
cari trouble
carry ball
carry kavadi
catch feel
catch no ball
cats cradle
cb mouth
cekik
cekik darah
cekodok
celebpreneur
cemburu
cemburu buta
cement your mouth
cempedak
cepat lari
cereal prawn
cerewet
cerita dongeng
cewah
cha si nang
cha tow peng
chalk drawing
challen
cham
cham siong
champion
change parade
changi prison
chao
chao ah beng
chao ah lian
chao chee bong
chao chee bye
chao da
chao hi lang
chao kah
chao kang
chao keng
chao keng king
chao keng queen
chao kuan
chao lao
chao mugger
chao private
chao recruit
chao ter bye
chap cheng
chap cheng kao
chap go mei
chap lau chu
chap sar tiam
chapalang
chapteh
char bor
char bor heng
char tau
chase rank
chau peng
chay meh
chay meh goo
chaydebah
cheapo
cheapo pek
cheat duit
cheat feeling
cheat money
cheat my feeling
cheat my money
cheaterbug
chee bye
chee bye bin
chee bye chwee
chee bye face
chee bye leaf
chee bye mouth
chee hong
chee ko
chee ko pek
chee leow bee
chee sin
chee toad
cheebilised
cheem
cheeminology
cheemology
cheena
cheena beng
cheena gherk
cheena pek
cheena piang
cheena pok
cheese cracker
cheese mexico
cheese pie
cheesy
cheh
chellam
cheng hu kang
cheoh
cher
cherry cherry long chiam pas
chey
cheybah
cheydebah
chi cham
chi kek
chi teh bin
chiak buay liao
chiak chow
chiak hong
chiak kantang
chiak kuay kuay
chiak lang
chiak leow bee
chiak lui
chiak pah boh sai pang
chiak pah pak ka chng
chiak sior eng
chiak tsua
chiam see tong
chibaboom
chibaboom ppl
chibot
chickabong
chickadees
chicken
chicken backside
chicken business
chicken feed
chicken feet
chicken floss
chicken hand duck leg
chicken ppl
chicken rendang
chicken rice
chicken serunding
chik ak
chiku
chillax
chilli crab
chilli padi
chin chye
china helicopter
china man
china woman
chinapore
chinaporean
chindian
chinese almanac
chinese ghost festival
chinese helicopter
ching chong
chio
chio bu
chio kao peng
chiong
chiong sua
chiong sua unit
chiu
chiu kena kah kah kena lum pah
chiu kena kah
cho boh lan
chochok
choi
choki
choki choki
chong kong
choon boh
chop
chop chop
chop chop kali pok
chope
chor
chor lang
chor lor
chou chou
chu pattern
chuay si
chui
chui kong lum pa song
chun boh
chuppie
chut pattern
cik pon
cina babi
cina poyo
cinapore
cinaporean
cinibong laksa
cissy cracker
civil servant
civil service
cklps
claypot
clementi
climb bukit timah
climb on top
climbing plant
close eye
close one eye
close satu mata
clown around
cm
cnc
cny
cock fella
cock up
cockanaathan
coconut milk
coffee money
colorful jelly
combat engineers
combat vocation
come i clap for you
comel
comeuppance
complain king
complain queen
confim and guarantee
confirm
confirm plus guarantee times 2 with 3 year warranty
confirm and guarantee
confirm plus chop
confirm plus guarantee
confuzzled
constertation
construction worker
contra
controlive
corn hoon kueh
corn puff
corntos
corright
cover backside
cover car chng
cover line
cover lubang
cover pantat
cover shit
cow touncil
cowdung
crispy
crone
cronyism
cry dad cry mum
csb
csi
css
cuckoo bird
cucuk
cucur
cultural theft
curi
curi ayam
curry favor
curry laksa
curse enemy
custard flour
custard powder
cut queue
cyber cafe
da bai tu
da er long
da fei gei
da fei ji
da shou qiang
da xiao ren
dabao
dadah
daebak
dahlia biscuit
dai ji
dai lou
daisy biscuit
dak payung
dao
darah go up
darah naik
darah up
dd
deep fried prawn
deeparaya
deepavali
degil
despo
detention barracks
dey
dhevadiyaa
dhilla
diam
diam diam
diamond cheese pie
diao
diao ppl
diao zui
diaoz
die why die
die cock stand
die die
digger
ding dang
ding dang chocolate
ding dong
dinner&dance
dip dip
dirty business
dirty work
diu lei
diu lei lou mou
do wan
do stupid thing
dodge task
dodol durian
dodol nangka
dodol sirsak
dol
donch
donch shy
dong zhi
dont fly my aeroplane
dont fly my kite
dont hew
dont play a fool
dont play play
dont want done
doraemon
dosa
dot dot dot
double confirm
double decker
dowan done
dragon boat festival
dragon boat race
dragon dance
drain hole
drama
drama mama
dried fig
dried fish
dried fish fillet
dried fish strip
dried fruit
dried olive
dried prawn
drink stall
dta
du lan
dua neh bu
dua neh neh
dua pai
dua pao sian
dua suay bak
dua suay liap
duanwu festival
dubdew
duduk rumah besarkan badan
duduk rumah besarkan buntut
duduk rumah besarkan konek
duduk rumah besarkan perut
duduk rumah besarkan tetek
duduk rumah diam diam
duduk rumah jual anggur
duit raya
duku
duku langsat
dukun
dumpling festival
dun
dungu
dunno
duo gao
durex
durian popcorn
dutty yeah
ear biscuit
early early don't say
early early never say
earn a living
eat air
eat die me
eat dirt
eat grass
eat ones fill
eat salt
eat shit
eat snake
eat taik
eat too much
eclectic mix
economic rice
edible wrapper
edmw
edmwer
eee
eeyer
egg ball
egg wafer
eh hello
eh hiao
eh hiao cho lang
eh sai
eh sai bo
eksi
eksi borak
elbow neck
electro mat
electro minah
eleven b
elumbukoodu
emo
empty headed
en pee en tee
encik
eng eng cheng cheng
england
engrand
enthu
eppadi irukkinga
er duo bing
errand boy
eruma maadu
erxin
erxin dabian
eskew me
extra
eye kena stamp
eye power
eye red
eyeglass candy
eyeglass chocolate
eyes got stamp
eyes kena stamp
eyes paste stamp
eyes stick stamp
fa dai
face pecah
fakester
fall in
fall out
familee
fancy gems
fang ge zi
fang fei ji
fang pi
fang xin
farker
fast game
faster cheaper better
fat die me
fatsy
fatty bom bom
feathered toy
feeling feeling
feeweet
feng shui
festival of lights
fetch
fevret
fiak
field camp
field report
find pasal
finger itchy
first-come first-serve
fish gravy
fish muruku
fish seller
fist fight
fitspo
five stone
fizzy cola
flashy fashion
flesy
flim
flip eraser
flip prata
fly aeroplane
fly kite
fly me aeroplane
flying fish biscuit
fong fei gei
food truck
food wrapper
fool around
forazumper
foreign devil
foreign talent
foreign worker
forget it
fox spirit
foya foya
fraudster
freaktard
free and easy
free flow
free-range
freeze and melt
fricktard
fried bee hoon
fried egg
fruit rojak
frus
fu er dai
fuck spider
fuck atas bawah
fugly
fuh
fulamak
full of oneself
full tank
full time
fuyoh
fwah
fwuh
gabra
gadoh
gagah
gahmen
gain face
gaji buta
gam sia
gan bei
gan dong
gan qing
gandos
gandos ubi
ganja
ganjaa
gao cuo
gao dim sai
gao ding
gao fu shuai
gao kway nrng
gao tak chek
gao teng gi
gaowei
garam masala
garang
gasak
gasak buta
gasak lah
gasing
gatal
gau
gau mm tim
gd
gedempol
geh geh
geh kiang
gei lou
gei yan
gek sim
gembeng
gempal
gemuk
gemuk gedempol
gendut
geng
geng bang
ger
geragok
geram
gerek
get
get what one deserve
getai
getuk getuk
getuk ubi
gg
ggdd
ggwp
ggxx
ghee cookie
gi mampoi
gi mampus
gi mati
giah lum pa chut lai tom to teng
gian png
gila
gila arak
gila bab
gila babi
gila betina
gila bodek
gila botol
gila dadah
gila duit
gila gossip
gila hutang
gila jantan
gila judi
gila kuasa
gila lelaki
gila money
gila pangkat
gila perempuan
gila pompuan
gila rank
gila rasuah
gila talak
gila wang
ginna kuan
ginna pi
give chance
give face
give offering
gl
glam
glgt
glhf
go head
go where
go and die
go die
go fly kite
go fuck spider
go jump down
go mampoi
go mampus
go mati
gold coin chocolate
golden cheese pie
goli
gone case
gong dai dai
gong dua dai
gong gong
gong gong dai dai
gong gong jia ti kong
gong hei fat choy
gong kia
gong koay
gong lang
gong lanjiao wei
gong tao
gong xi
gong xi fa cai
gongfu
gongxi raya
good for nothing
good very good
goondu
goot pocoyo
gor chiam tua guay gu chia leng
gorblok
goreng
gostan
got
got eye see no or yee or
got problem ah
got eye see no tarzan
got license
got link got talk
got video got talk
government job
government mouthpiece
government scholarship
goyang kaki
grandfathers army
grandfathers road
grandfudder road
grated coconut
green bean flour
green bean powder
green packet
gu niang
gu poon si
gu zao wei
gua
guai lan
guai lan kia
guangdong province
guangzhou immigrant
guanyin ma
gudek putih
guinness foerign extra stout
gula masam manis
gula melaka
gummy candy
gungho
guo fen
gvgt
gwai lou
gx
h81
ha
ha ki lum pa
ha lum pa
ha ni ah pa lum pa hor li kar
habis
haf
hailat
haish
haiyah
haiyoh
haiyoyo
hakka cuisine
halal
half ball
half past six
half-baked
ham bin
hami melon
hamz
han na
han tse
hancai
hand itchy
handsomelicious
hang zheng pai
hantam
hao chi
hao lian
hao lum bin
hao ren
hapak
happy like bird
haprak
hapz
haram
hard up
hardcore
hari raya
hari raya aidiladha
hari raya aidilfitri
hari raya haji
hari raya puasa
harnoh
hasut
hate sunlight
hati batu
hati berat
hati busuk
hati cair
hati panas
haw flakes
hawk one or koh one
hawker centre
hay bee
hay bee hiam
hay wiring
haywiring all over the shop
hdb flat
he still small boy one
hean toh
heart cair
heart pain
heartlander
heaty
heck care
heh heh chuan
hei she hui
helication
helicopter
hell money
hen hao
heng
heng chu
heng kao kan
heng suay
henpecked husband
hensem
hentak
hentak kaki
hentak kaki cepat hentak
hentak leg
hentam
hentam bola
heong
heong siu
hero
hey sho
hiam
hiao
hiao lay lay
hiao mi
hiau lok
hide face
hide muka
hidung tinggi
high level
high roller
high-class
hijabista
hilang
hilang akal
himbo
hin
hindu festival
hindu pariah
hip siong
hiro
hiro choc cake
hiro chocolate cake
hisap dadah
hisap ganja
hit aeroplane
hit or miss
hit target
hit with slippers
hitto
hmmm zai
ho gai siao
ho hia tee
ho jiak
ho jiak ho koon
ho kua
ho lang kan
ho say
ho thia
hock kee
hodoh
hojjiber
hokkien char mee
hokkien cuisine
hokkien peng
holy day
holy month
hong bao
hong kan
hong kong foot
hongster
hoong kee
hoot
hopeless case
hor
hor fun
hor gui kan
hor kau kan
hor liao
hor mia
hor miah
horlan
horlicks soya bean
hormat
hormat senjata
horrigible
hosay
hosehbo
hosei liao
hot die me
hotdog prata
hotel 81
hou sek
hougang chalet
house visitation
housing project
how can
how liddat
how like that
how now
how seow
hua hee
hua hee tio ho
huai
huan a
huat
huat ah
huat kueh
huat sio
huatderful
hudsons
huha
hui sei
huli jing
hum chi
hum pah lang
hum ji
hum kar chan
hum kar ling
hum sup
hum sup lou
hungry ghost festival
hutang
hutang keliling pinggang
hypokrit
ice and water
ice cream uncle
ice jelly
ice kacang
ice lolly
ice red bean corn
ice soursop
iceball
iced gem
identity card
idle king
idle queen
ikan
ikan bilis
ikan bilis ppl
ikan satay
ikat perut
ilichavaayee
ill-wish
im thread
imba
immeelly
in-camp
indian cuisine
indian festival
indian harvest festival
indonesian cuisine
ini macam
innards
inshallah
insult grandfather
insult mother
ipoh laksa
iri hati
iron rings
iron rice bowl
irrit
is it
itchy backside
itchy finger
itchy hand
itchy mouth
itchy pantat
jade emperor
jaga
jahat
jak ba buay
jalan jalan
jambu
jangan
jangan catastrophe
jangan jangan
jangan tension
jantan
jatuh hati
jatuh heart
jazakallah
jelak
jeling
jelly cone
jelly cup
jemput
jemput datang
jemput jemput pisang
jemput makan
jenkol
jering
jerrorize
ji dan gao
ji dan gao fnb
ji gu pa
ji ji wai wai
ji seow
ji siao
ji wei fan
jiak
jiak ba buay
jiak bo liau
jiak buay liao
jiak buay pa
jiak cao
jiak chor
jiak hong
jiak kantang
jiak kor
jiak kuay kuay
jiak lang
jiak leow bee
jiak lui
jiak pah boh sai pang
jiak pah pak ka chng
jiak png
jiak sai
jiak sior eng
jiak zua
jialat
jian dui
jiao bin
jiao geh
jiayou
jie jie
jijik
jilat ludah
jilo
jin
jio
jio is bo
jiu hu
jiu ming
jiu ming ah
jiwang
joahamida
joayo
johor laksa
joli
jom
joss paper
jual jubo
jual mahal
juang lah
jube
jude
jugger
junior college
just nice
just right
k.o.
ka chng
ka chng itchy
ka ki kor ka ki
ka zua
kacang
kacang brain
kacang hantu
kacang putih
kacau
kacau daun
kacau leaf
kachau
kae ang moh
kah kana lum pa
kah kenna chiu
kah kia
kai kai
kai qiao
kain sarong
kain songket
kaki
kaki alcohol
kaki arak
kaki bangku
kaki bazir
kaki betina
kaki bodek
kaki botol
kaki buli
kaki bully
kaki cabul
kaki cabut
kaki dadah
kaki gaduh
kaki gossip
kaki hutang
kaki jantan
kaki joli
kaki judi
kaki lang
kaki lepak
kaki lottery
kaki mabuk
kaki maksiat
kaki membazir
kaki mengumpat
kaki menyampuk
kaki minum
kaki party
kaki perempuan
kaki ponteng
kaki rape
kaki sampuk
kaki suap
kaki togok
kaki umpat
kaki zina
kaku
kalang kabut
kalimannu
kam buan
kam guan
kam muan
kam tong
kamcheng
kampau
kampung
kampung chicken
kampung ppl
kampung spirit
kan bu qi
kan cheong
kan cheong pi sai
kan cheong spider
kan lin nia
kan ni lao bu
kan ni lao peh
kan ni na
kan sui kueh
kan ti tu
kang he kia
kang kor
kang tau
kangkong
kannu
kantang
kantoi
kao lat
kao peh
kao peh kao bu
kapchai
kapoh
kar chng
kar chng kang
karaoke bar
karat
kari
kari laksa
kartun
karung guni
karung guni man
karut
kasi chance
kati
kati menggatal
katik
katik ayam
kau
kau peh kau bu
kawaii
kay
kay gau
kay kay
kay kiang
kay siao
kaya hati
kaya hutang
kaya toast
kaypoh
kaypoh chee
kaypoh kia
kayu
kayu tiga
kc trap
kci
kcs
ke ai
ke belakang pusing
ke lian
kebuluh
kechik
kecil hati
kecoh
kecohrable
kedah laksa
kedekut
kedenking
kee hiao
kee jiak
kee jiak ak
kee siao
keep to yourself
keep quiet
keep safe
keep secret
kek khi
kek lapis
kek lapis moden
kek lapis sarawak
kek sai
kek si
kekek
kelakar
kelam kabut
kelantan laksa
kelentong
keling
keling kia
keling pariah
kelong
kelong king
kelong queen
keluar baris
kembung air
kena
kena arrow
kena axe
kena bang
kena bantai
kena bedal
kena belasah
kena blast
kena box
kena buang kerja
kena cabul
kena catch
kena caught
kena cekik
kena cheat
kena con
kena control
kena corner
kena criticize
kena cut
kena drench
kena drill
kena fire
kena force
kena geng bang
kena goreng
kena hammer
kena hentam
kena hit
kena hukum
kena jack
kena kelentong
kena kick
kena kick out
kena kiss backside
kena kondamn
kena kongkong
kena kutuk
kena lanyak
kena lempang
kena main
kena marah
kena paksa
kena pecat
kena perangkap
kena play
kena politic
kena prank
kena pressure
kena psiko
kena psycho
kena pukul
kena punish
kena qie
kena rembat
kena rogol
kena sack
kena sacked
kena sai
kena saiko
kena saman
kena scam
kena scold
kena screw
kena sekel
kena seksa
kena semek
kena sepak
kena slam
kena slap
kena smack
kena sound
kena squash
kena stomp
kena strangle
kena tangan
kena tangkap
kena tau pok
kena tekan
kena tendang
kena tiao
kena tipu
kena torture
kena trap
kena trick
kena tumbuk
kena upside down
kena walkover
kena whack
keng
keng chio kia
keng gai
keng ka liau
keng king
keng queen
kengster
kening terperanjat
kental
kental shit
kentang
kentot
kentut
kenyang
kenz
keong hee huat chye
keong kan
keow kui
kepala angin
kepala batu
kepala botak
kepala butoh
kepala crack
kepala otak bapak kau
kepala pening
kepala sakit
keps
kept woman
kera sumbang
kerek
kerepek
kerepek ikan
kerepek kentang
kerepek pedas
kerepek udang
kerisik
keropok
kesian
ketat
ketat ppl
ketenteng
ketinggalan
ketot
ketuk
ketupat
kew ong yah
kfc man
khek
khia khia
ki chia
ki ho lang kan
ki si
ki si lang
kia cheng hu
kia lai kia ker
kia lang
kia si lang
kiabo
kiam
kiam chye
kiam eh
kiam lui
kiam pah
kiam siap
kiampa
kiao ka
kiao kar
kiao kar yo lum pa
kiap
kiap si
kiapap
kiasai
kiasi
kiasiism
kiasiness
kiasu
kiasuism
kilat
killer litter
kim jio
kim tang tang
kim zua
kimak
kimek
kin chio kia
kin chiong
kin kah kin chew
king
king jame version
kio tio
kio tio goo lan
kiss backside
kiu kiu kio
kiu mia
kiu mo
kiut
kiut miut
kiwak
kizhavan
kizhavi
knock out
knock bamboo pieces
knock it down
knock off
ko cha bi
kodok
kolam
kolot
kong chiao weh
kong jiao wei
kong sar kong si
kong si mi
kongkong
kongsi
konjac jelly
konnyaku jelly
kontot
koo bye
kool
koon
koon king
koon queen
koot lat
kope
kopi
kopi c
kopi gau
kopi kia
kopi kosong
kopi o
kopi peng
kopi poh
kopi lui
kopi money
kopi sock
kopiko
kopitiam
kor ka ki
kor kor
kor lian
kor lian dai
korban
koro
kosong
kotek
kotta
koyak
koyok
kristang
kthxbye
kua si mi
kua simi kua
kuah beh ki
kuah buay ki
kuah lang
kuah midnight
kuah suay
kuai
kuai kia
kuai kuai
kuai lan
kuai lan kia
kuat
kucing kurap
kudut
kudut kedenking
kuih
kuih abok abok
kuih akok
kuih akok kedut
kuih ambon
kuih bahulu
kuih bahulu pandan
kuih bakar
kuih bangkit
kuih batang buruk
kuih belanda
kuih bingka
kuih bingka pandan
kuih bingka sarang
kuih bingka ubi
kuih bingka ubi kayu
kuih bom
kuih bom pisang
kuih bongkong
kuih bronok
kuih cara
kuih cincin
kuih dadar
kuih dodol
kuih gandos
kuih jagung
kuih jongkong
kuih kamir
kuih kapit
kuih kasturi
kuih kaswi
kuih kaya
kuih kelupis
kuih koci
kuih kodok
kuih kosui
kuih koya
kuih lapis
kuih lapis sarawak
kuih legit
kuih lompang
kuih lopis
kuih makmur
kuih manja
kuih marmer
kuih momo
kuih pancong
kuih pie tee
kuih pulut
kuih rangin
kuih rengas
kuih sago
kuih salat
kuih semperit
kuih semprong
kuih seri muka
kuih siput
kuih tako
kuih talam
kuih tayap
kuih tunjuk tunjuk
kuih tutu
kuih wajik
kuku
kuku bird
kuku head
kuku jiao
kum cheng
kum cheng trap
kum gong
kum gong kia
kum lan
kum lan kia
kum pooi
kumsiahamidas
kundi
kunji
kupon
kurang ajar
kurus kedenking
kusut
kusut masai
kuti
kuti kuti
kutti
kutuk
kwa meenite
kwa hee
kway
kwiyowo
l-cube l-square
la jiao pang xie
la sai
lack common sense
lady boss
lagi
lah
lak seh
laksa ipoh
laksa kari
laksam
laling
lam nua
lambat
lambong
lame
lame answer
lame joke
lan
lan eh
lan tui
lan game
lan jiao
lan jiao bin
lan jiao face
lan jiao lang
lan jiao wei
lan lan
lan sai bin
lan sai lang
lan sai wei
lan si
lan tiu
lancing
langgar
langsat
lanjiao wei
lantak
lantak bapak kau
lantak kau
lantern festival
lanyak
lanzone
lao ban
lao ban niang
lao bu
lao char bor
lao chio
lao da
lao gong
lao hiao
lao jiao
lao kok kok
lao kwee
lao peh
lao peng
lao po
lao pok
lao shuai
lao tar por
lao ter khor
lao yah
lao yah pok
lao yandao
lapar
lasak
laser mouth
last time policemen wear shorts
last chance
last warning
lau ter khor
lau jiao
lau kau
lau kwee
lau lan
lau pee hui
lau pei huet
lau sai
lau yah
laugh die me
law by law
lawa
lazy bum
lazy to explain
lean body
leceh
lee hsien loong
legong
leh
lelong
lemang
lemau
lembab
lembik
lembut hati
lemon tea
lempang
leng lui
leng zai
lepak
lepak one corner
lepat pisang
lerf
less means hor
lhd
li
li hai
li ho
li na beh
li na bu
li nao hiah
liak bo kiu
liam keng
lian
lian hei hei
lianglish
lianified
liao
liddat oso can
liddat how
liek boh kiew
ligo raisin
like ah pek
like ah soh
like airport runway
like attention
like auntie
like grocery shopping
like lamp post
like makcik
like market
like nobody's business
like pakcik
like praise
like real
like runway
like that
like that how
like tiang lampu
like uncle
like understand only
like unker
lim coffee
lim kopi
lim peh ka li kong
lim teh
limited english
lingua franca
lintah darat
lion dance
lip lai
litter bug
little boy
little red dot
little strength
live firing
llst
lo hei
loan shark
loanmai
lobang
lobo
loh soh
lolex
lolz
lomance
lomantic
lombang
long bean
long chiam pas
long life
long long no see
long tio wu siah
longan
longkang
longkau
longkau chui
lontong
lood
looksee looksee
loosu
lor
lose face
lose money
lost form
love letter
loving lion
low class
lppl
lu
lu lai lu lau lan
luan
luan luan
luan luan lai
luan luan zuo
lugi
lui
lui bin
lum pah
lum pah pah lan
lum pa bin
lum pa ji
lum pa pa lan
lumpang
lumsing
lunar calendar
lup sup
lup sup bar
lurus bendul
ma chor poh
ma huan
ma si sa ko
maangaa
maapillai
mabok
macam
macam betul
macam biskut
macam faham
macam lamp post
macam macam ah
macam macam sia
macam macam siak
macam macam sial
macam macam siol
macam macam siot
macam paham
macam real
macam tak cukup makan
macam tiang lampu
macha
machan
machi
macnoner
madrasah
mah fan
mah jie
mai
mai gei lah
mai sng sng
mai beo
mai gay
mai hiam buay pai ai hiam kena sai
mai ka li gong hor li gian
